Epoch,train_sat_kb,test_sat_kb,train_absolut_attribute_accuracy,test_absolut_attribute_accuracy,train_to_the_left_of_pos_case,train_to_the_left_of_neg_case,test_to_the_left_of_pos_case,test_to_the_left_of_neg_case
0,0.8119344711303711,0.8431978821754456,0.9373958110809326,0.9695833325386047,0.5668448209762573,0.4242003560066223,0.5595377683639526,0.501778244972229
1,0.8518096208572388,0.8618190288543701,0.9684895873069763,0.9697916507720947,0.5849621295928955,0.5593691468238831,0.6158202886581421,0.6115264892578125
2,0.8676239252090454,0.8753808736801147,0.9683073163032532,0.9697916507720947,0.6446743011474609,0.6454846858978271,0.6726766228675842,0.6803128719329834
3,0.8851593136787415,0.8925544619560242,0.977135419845581,0.9791666865348816,0.6935076117515564,0.700863242149353,0.7170230746269226,0.7267282009124756
4,0.8954716920852661,0.8993386626243591,0.9791666865348816,0.9791666865348816,0.7318894863128662,0.7400387525558472,0.7517423033714294,0.7597606182098389
5,0.9034410715103149,0.938146710395813,0.98026043176651,0.9996874928474426,0.7620264291763306,0.7681717872619629,0.780724048614502,0.7846220135688782
6,0.9422528147697449,0.9474847912788391,0.9999739527702332,1.0,0.791415274143219,0.7949593663215637,0.8105241060256958,0.8112307190895081
7,0.9487420916557312,0.9531000256538391,0.9998958110809326,1.0,0.8160334825515747,0.8171939849853516,0.8313304781913757,0.8307860493659973
8,0.9538804292678833,0.9574204683303833,1.0,1.0,0.8338395953178406,0.8340604901313782,0.8470425605773926,0.8461742401123047
9,0.9576600193977356,0.9608932137489319,1.0,1.0,0.8475738763809204,0.8475051522254944,0.8595444560050964,0.8586943745613098
